,InscricaoImobiliaria,Ano,lon,lat
1714614,30179071,2020,-43.31876198999998,-22.84897632699995
1714619,30179220,2021,-43.28586694199998,-22.89521726799995
1714621,30179287,2020,-43.36883359999996,-22.82710004899997
1714623,30179337,2021,-43.30674763999997,-22.83991499399997
1714923,30178743,2021,-43.26848290299995,-22.90819751399994
1714926,30179329,2021,-43.30674763999997,-22.83991499399997
1714927,30179345,2021,-43.56911876399994,-22.88630728599998
1714929,30179832,2020,-43.28119115599998,-22.83601495299996
1714975,30179774,2021,-43.23549774399999,-22.90824191599995
1714990,30179451,2020,-43.64964084399998,-22.98571729799994
1714991,30179667,2021,-43.28220241499997,-22.84249850099997
1714992,30179717,2020,-43.38082420999996,-22.84266900199998
1715836,30177547,2021,-43.38675853999996,-22.93158756999998
1716066,30177273,2020,-43.21288660799996,-22.89581063799994
1716166,30177836,2020,-43.55022875999998,-23.02679354499998
1716170,30178206,2021,-43.61432457799998,-22.97276401899995
1716171,30178263,2021,-43.33586259599997,-23.01016523699997
1716172,30178388,2021,-43.22584641099996,-22.92680696399998
1716237,30177935,2020,-43.36734357599994,-22.91988743199994
1718996,30173546,2021,-43.53324740199997,-22.87843665099996
1721784,30179493,2021,-43.18685371199996,-22.94979383099997
1721785,30179600,2021,-43.17771776499995,-22.79492328399994
1721786,30179618,2021,-43.24451622299995,-22.93347092899995
1721787,30179766,2020,-43.57692545799995,-22.87140774199997
1721984,30179402,2021,-43.23771087899996,-22.92249070899993
1722086,30179550,2021,-43.17771776499995,-22.79492328399994
1722087,30179568,2021,-43.17771776499995,-22.79492328399994
1726479,30167688,2020,-43.29925413199993,-22.87446556199995
1726559,30167324,2021,-43.31829125999997,-22.83034080499993
1726958,30167662,2020,-43.40989986699998,-22.82797950099996
1726959,30167696,2020,-43.30025176699996,-22.88841520799997
1728100,30179246,2020,-43.44121127399995,-22.89534850799993
1728335,30178875,2021,-43.28888724799998,-22.90087290299994
1728336,30178966,2021,-43.30930234499994,-22.87609341099994
1728337,30179477,2021,-43.24327625099994,-22.88973223399995
1728338,30179584,2021,-43.17771776499995,-22.79492328399994
1728384,30179576,2021,-43.17771776499995,-22.79492328399994
1728732,30179592,2021,-43.17771776499995,-22.79492328399994
1728787,30177703,2020,-43.49303773999998,-22.97927474099998
1728794,30178891,2021,-43.26441970299993,-22.90254413699995
1729063,30858849,2021,-43.44168377099993,-23.01144862799998
1734029,30334221,2020,-43.58681729999995,-22.94003832899995
1734771,30177356,2021,-43.29662157699994,-23.01404535299997
1734806,30177851,2020,-43.43449269999996,-22.89379087799995
1734807,30177869,2020,-43.19180782499996,-22.92425654499993
1734810,30177919,2020,-43.23208843399993,-22.91728048899995
1734826,30177877,2021,-43.33254180599994,-22.82949237499997
1734827,30177893,2021,-43.42304386799998,-22.87521901699995
1734829,30177943,2020,-43.36734357599994,-22.91988743199994
1734834,30178776,2021,-43.27844736399993,-22.84453402099996
1754550,31006869,2021,-43.54774687099996,-22.92028942099995
